"REF_DATE","GEO","DGUID","Wages","Type of work","National Occupational Classification (NOC)","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Administrative and financial support and supply chain logistics occupations [14]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409173","1.3.3.13.1.1","372.15","","","","2"
"2018","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Natural and applied sciences and related occupations, except management [21-22]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409185","1.3.3.14.1.1","552.64","","","","2"
"2019","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Natural and applied sciences and related occupations, except management [21-22]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409185","1.3.3.14.1.1","544.49","","","","2"
"2020","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Natural and applied sciences and related occupations, except management [21-22]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409185","1.3.3.14.1.1","627.11","","","","2"
"2021","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Natural and applied sciences and related occupations, except management [21-22]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409185","1.3.3.14.1.1","626.50","","","","2"
"2022","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Natural and applied sciences and related occupations, except management [21-22]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409185","1.3.3.14.1.1","641.80","","","","2"
"2023","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Natural and applied sciences and related occupations, except management [21-22]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409185","1.3.3.14.1.1","639.82","","","","2"
"2018","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Professional occupations in natural and applied sciences [21]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409197","1.3.3.15.1.1","684.03","","","","2"
"2019","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Professional occupations in natural and applied sciences [21]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409197","1.3.3.15.1.1","640.68","","","","2"
"2020","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Professional occupations in natural and applied sciences [21]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409197","1.3.3.15.1.1","784.80","","","","2"
"2021","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Professional occupations in natural and applied sciences [21]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409197","1.3.3.15.1.1","787.22","","","","2"
"2022","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Professional occupations in natural and applied sciences [21]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409197","1.3.3.15.1.1","793.66","","","","2"
"2023","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Professional occupations in natural and applied sciences [21]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409197","1.3.3.15.1.1","811.32","","","","2"
"2018","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Professional occupations in natural sciences [211]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409209","1.3.3.16.1.1","781.78","","","","2"
"2019","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Professional occupations in natural sciences [211]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409209","1.3.3.16.1.1","","x","","","2"
"2020","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Professional occupations in natural sciences [211]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409209","1.3.3.16.1.1","1163.80","","","","2"
"2021","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Professional occupations in natural sciences [211]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409209","1.3.3.16.1.1","","x","","","2"
"2022","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Professional occupations in natural sciences [211]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409209","1.3.3.16.1.1","702.22","","","","2"
